ETIQUETA;NOMBRE;PRIORIDAD;PROYECTO;TIPO ACTUACIÓN;COORDENADA X;COORDENADA Y;Longitud;Latitud
AG.11.02;Colonia Experimental;2024-2028;Planes Integrales Territoriales de Barrios Apirus;Apiru de Gestión;438436,229;4471065,16;-3.7253455;40.3879079
AG.11.03;Pan Bendito;2024-2028;Planes Integrales Territoriales de Barrios Apirus;Apiru de Gestión;437942,35;4469936,883;-3.7310541;40.3777072
AG.12.01;Barrio de Almendrales;2024-2028;Planes Integrales Territoriales de Barrios Apirus;Apiru de Gestión;440649,4;4470782,217;-3.6992454;40.3855197
AG.12.02;Colonia Cerrillo;2024-2028;Planes Integrales Territoriales de Barrios Apirus;Apiru de Gestión;439477,05;4470910,598;-3.7130688;40.3865918
AG.12.03;Colonia Moscardó;2024-2028;Planes Integrales Territoriales de Barrios Apirus;Apiru de Gestión;439862,45;4471235,1;-3.7085591;40.389543
AG.13.01;Colonia Alto del Arenal;2020-2024;Planes Integrales Territoriales de Barrios Apirus;Apiru de Gestión;445404,35;4471329,569;-3.6432749;40.3907757
AG.13.02;Avenida Buenos Aires;2024-2028;Planes Integrales Territoriales de Barrios Apirus;Apiru de Gestión;444516,75;4470696,1;-3.6536772;40.3850104
AG.13.03;Entrevías;2017-2020;Planes Integrales Territoriales de Barrios Apirus;Apiru de Gestión;443262,1;4470182,472;-3.6684123;40.3802988
AG.14.01;Moratalaz Promoción Privada;2024-2028;Planes Integrales Territoriales de Barrios Apirus;Apiru de Gestión;444683,95;4473312,697;-3.6519348;40.4085934
AG.16.01;Poblado Dirigido de Manoteras;2017-2020;Planes Integrales Territoriales de Barrios Apirus;Apiru de Gestión;444107;4481166,526;-3.6594252;40.4793062
AG.17.01;Colonia Experimental Villaverde;2017-2020;Planes Integrales Territoriales de Barrios Apirus;Apiru de Gestión;439648,75;4466294,973;-3.7106092;40.3450242
AG.18.01;U.V.A. Vallecas;2024-2028;Planes Integrales Territoriales de Barrios Apirus;Apiru de Gestión;448094,25;4470099,912;-3.6114826;40.37987
AG.18.02;Casco de Vallecas. Colonia Virgen de la Torre;2020-2024;Planes Integrales Territoriales de Barrios Apirus;Apiru de Gestión;447205,6;4469659,933;-3.6219145;40.3758506
AG.21.01;Barrio del Aeropuerto;2017-2020;Planes Integrales Territoriales de Barrios Apirus;Apiru de Gestión;450621,1;4477948,448;-3.5823255;40.4507287
MP.19.01;Centro Urbano de Vicálvaro;2020-2024;Proyecto Estratégico de Movilidad;Áreas de Mejora Peatonal;448409,432;4472839,141;-3.6079917;40.4045665
MP.11.01;Casco de Carabanchel Bajo;2020-2024;Proyecto Estratégico de Movilidad;Áreas de Mejora Peatonal;436938,55;4470303,496;-3.7429144;40.3809345
MP.11.02;Casco de Carabanchel Alto;2020-2024;Proyecto Estratégico de Movilidad;Áreas de Mejora Peatonal;436265,057;4469527,989;-3.7507705;40.3738972
